ENSMUST00000189336.1	Stat1
ENSMUST00000114513.8	Gls
ENSMUST00000114512.7	Gls
ENSMUST00000156887.7	Gls
ENSMUST00000114510.7	Gls
ENSMUST00000155587.7	Gls
ENSMUST00000129107.1	Gls
ENSMUST00000186764.6	Nab1
ENSMUST00000069792.13	Nab1
ENSMUST00000170269.1	Nab1
ENSMUST00000165859.7	Nemp2
ENSMUST00000188507.6	Nemp2
ENSMUST00000185483.6	Nemp2
ENSMUST00000185790.6	Nemp2
ENSMUST00000156876.7	Mfsd6
ENSMUST00000147758.7	Mfsd6
ENSMUST00000087701.3	Mfsd6
ENSMUST00000027271.8	Inpp1
ENSMUST00000177279.7	Inpp1
ENSMUST00000162576.7	Inpp1
ENSMUST00000159725.1	Inpp1
ENSMUST00000159352.7	Hibch
ENSMUST00000044478.6	Hibch
ENSMUST00000050567.10	1700019D03Rik
ENSMUST00000114492.7	1700019D03Rik
ENSMUST00000114493.1	1700019D03Rik
ENSMUST00000191441.1	1700019D03Rik
ENSMUST00000190831.6	1700019D03Rik
ENSMUST00000186266.1	1700019D03Rik
ENSMUST00000190726.1	1700019D03Rik
ENSMUST00000027269.6	Mstn
